name,team,position,bye,projectedPoints,adp,adpStdev,sleeperId,tier,ballersRank,risk,upside
Alvin Kamara,NO,RB,8,83,156,,4035,10,195,6.5,4.2
Minnesota Vikings,MIN,DST,6,127.2,158,,MIN,,,,
Oronde Gadsden,LAC,TE,7,89,158,,12493,7,196,4.5,6.8
Jacksonville Jaguars,JAX,DST,7,125.9,161,,JAX,,,,
Kaelon Black,SF,RB,8,55.6,161,,13414,10,244,5.7,4.9
Tank Bigsby,PHI,RB,10,92,161,,9225,10,183,4.6,6
Cleveland Browns,CLE,DST,11,124.6,164,,CLE,,,,
Kyler Murray,MIN,QB,6,337.9,164,,5849,5,109,7.5,7.5
Keaton Mitchell,LAC,RB,7,96.6,165,,9511,10,165,4.7,4.9
Brenton Strange,JAX,TE,7,126.8,167,,9480,5,141,3.6,5.5
Pittsburgh Steelers,PIT,DST,9,123.3,167,,PIT,,,,
Tyler Shough,NO,QB,8,354.5,167,,12545,5,107,4.3,7.3
Jalen Nailor,LV,WR,13,101.3,168,,8180,10,157,4.9,3.9
Denzel Boston,CLE,WR,11,109,170,,13346,10,152,4.7,4.9
Los Angeles Chargers,LAC,DST,7,122,170,,LAC,,,,
Tyjae Spears,TEN,RB,9,113.6,170,,9508,10,147,4.6,4.7
Sam Darnold,SEA,QB,11,310.3,171,,4943,6,128,4,6.2
Isiah Pacheco,DET,RB,6,101.7,172,,8205,10,159,5,5.2
Brian Robinson,ATL,RB,11,84.8,173,,8154,10,192,3.7,4.3
Green Bay Packers,GB,DST,11,120.7,173,,GB,,,,
Travis Hunter,JAX,WR,7,97.7,174,,12530,10,161,8.3,6.3
Baltimore Ravens,BAL,DST,13,119.4,176,,BAL,,,,
Keenan Allen,IND,WR,13,120.3,177,,1479,10,133,5.7,3.5
Kansas City Chiefs,KC,DST,5,118.1,179,,KC,,,,
Cyrus Allen,KC,WR,5,91.6,180,,13413,11,176,5.3,4.7
Juwan Johnson,NO,TE,8,135.1,180,,7002,5,131,3.8,5.2
Buffalo Bills,BUF,DST,7,116.8,182,,BUF,,,,
Malik Washington,MIA,WR,6,125.4,182,,11610,9,127,4.6,5.1
Tre Tucker,LV,WR,13,119,183,,10213,10,137,4.5,4.6
Detroit Lions,DET,DST,6,115.5,185,,DET,,,,
T.J. Hockenson,MIN,TE,6,100.9,185,,5844,6,174,4.1,5.2
Braelon Allen,NYJ,RB,13,60.5,187,,11576,10,240,5,5.1
Atlanta Falcons,ATL,DST,11,114.2,188,,ATL,,,,
Malik Willis,MIA,QB,6,323,188,,8161,6,122,5.3,8
Kenyon Sadiq,NYJ,TE,13,101.5,189,,13330,6,171,4.6,5.4
Emmett Johnson,KC,RB,5,71.7,190,,13337,10,216,4.8,4.5
San Francisco 49ers,SF,DST,8,112.9,191,,SF,,,,
C.J. Stroud,HOU,QB,8,313.8,192,,9758,6,130,4.2,6.1
Tank Dell,HOU,WR,8,94.2,192,,9502,11,167,8.5,6.3
New York Giants,NYG,DST,8,111.6,194,,NYG,,,,
Chig Okonkwo,WAS,TE,7,114.3,195,,8210,6,156,3.8,5.2
AJ Barner,SEA,TE,11,91.7,196,,11603,7,193,3.9,4.2
Dylan Sampson,CLE,RB,11,89.9,196,,12469,10,184,3.7,4.9
Indianapolis Colts,IND,DST,13,110.3,197,,IND,,,,
Omar Cooper Jr.,NYJ,WR,13,108.7,197,,13276,10,150,6.7,5.9
Daniel Jones,IND,QB,13,297,198,,5870,7,135,7.5,6.3
Fernando Mendoza,LV,QB,13,121.6,198,,13269,8,243,8.8,6.7
Chicago Bears,CHI,DST,10,109,200,,CHI,,,,
Kayshon Boutte,HOU,WR,8,128,200,,9504,9,120,4.4,5.8
Caleb Douglas,MIA,WR,6,81.6,201,,13296,11,194,5.3,4.4
Malachi Fields,NYG,WR,8,93.7,202,,13285,11,169,5.4,3.7
New Orleans Saints,NO,DST,8,107.7,203,,NO,,,,
Cooper Kupp,SEA,WR,11,93.7,204,,4039,11,168,5.3,3.5
Dontayvion Wicks,PHI,WR,10,103.9,204,,9486,10,155,5.3,4.3
Carolina Panthers,CAR,DST,5,106.4,206,,CAR,,,,
Terrance Ferguson,LAR,TE,11,71.7,206,,12487,7,228,5.1,4.4
Dalton Schultz,HOU,TE,8,129.4,207,,5001,5,139,3.1,4.8
Dallas Cowboys,DAL,DST,14,105.1,209,,DAL,,,,
Ray Davis,BUF,RB,7,50.4,209,,11575,10,252,3.8,4.7
Jalen McMillan,TB,WR,10,74.3,210,,11618,11,207,3.5,4
Cam Ward,TEN,QB,9,309.5,211,,12522,6,129,4.6,6
